Значение X,Значение Y,Значение Z,Рост/падение,Предсказанные рост/падение
151.508667,149.591843,150.9068908718637,Падение,Падение
149.591843,142.244034,149.8842711301658,Падение,Рост
142.244034,137.971115,145.02615669663763,Падение,Рост
137.971115,142.214081,140.48474396305,Рост,Рост
142.214081,145.858047,141.17967317063517,Рост,Падение
145.858047,146.157532,143.6081971915031,Рост,Падение
146.157532,145.189148,144.90298844462728,Падение,Падение
145.189148,139.857986,145.006911657261,Падение,Падение
139.857986,140.187439,141.86136412386125,Рост,Рост
140.187439,138.749832,140.80369508317744,Падение,Рост
138.749832,138.110886,139.38231146064734,Падение,Рост
138.110886,142.753204,138.4051133443526,Рост,Рост
142.753204,138.150833,140.85121616742168,Падение,Падение
138.150833,142.174164,139.0442152753738,Рост,Рост
142.174164,143.511932,140.91656598944343,Рост,Падение
143.511932,143.62175,142.44999573083763,Рост,Падение
143.62175,143.152527,143.2089167771465,Падение,Падение
143.152527,147.026108,143.26499398928678,Рост,Рост
147.026108,149.202484,145.6313923570675,Рост,Падение
149.202484,152.087708,147.865583136161,Рост,Падение
152.087708,149.102661,150.55605630338377,Падение,Падение
149.102661,144.560196,149.83890782306378,Падение,Рост
144.560196,155.482086,146.79154331522827,Рост,Рост
155.482086,153.086044,152.10980580713277,Падение,Падение
153.086044,150.400497,152.617633242285,Падение,Падение
150.400497,144.78981,151.33616355537868,Падение,Рост
144.78981,138.650009,147.3721519902048,Падение,Рост
138.650009,138.380005,141.94432607282764,Падение,Рост
138.380005,138.919998,139.47790348740375,Рост,Рост
138.919998,139.5,138.69583840672766,Рост,Падение
139.5,134.869995,138.7671700202093,Падение,Падение
134.869995,146.869995,136.06442501618926,Рост,Рост
146.869995,149.699997,142.43069237315987,Рост,Падение
149.699997,148.279999,146.6956763593379,Падение,Падение
148.279999,150.039993,147.8165457760871,Рост,Падение
150.039993,148.789993,149.45378209351276,Падение,Падение
148.789993,150.720001,149.27556136522506,Рост,Рост
150.720001,151.289993,150.30668724770374,Рост,Падение
151.289993,148.009995,150.9677001975823,Падение,Падение
148.009995,151.070007,149.19973924255555,Рост,Рост
151.070007,144.220001,150.33729602461702,Падение,Падение
144.220001,141.169998,146.5154394840679,Падение,Рост
141.169998,148.029999,143.15514730349426,Рост,Рост
148.029999,148.309998,145.89684893267668,Рост,Падение
148.309998,147.809998,147.08729208268736,Падение,Падение
147.809998,146.630005,147.4183400847087,Падение,Падение
146.630005,142.910004,146.9019731840322,Падение,Рост
142.910004,140.940002,144.43432591428433,Падение,Рост
140.940002,142.649994,142.21574777752494,Рост,Рост
142.649994,142.16000399999996,142.29230304455166,Падение,Падение
142.16000399999996,144.490005,141.97720926348543,Рост,Падение
144.490005,145.470001,143.33355964905715,Рост,Падение
145.470001,143.210007,144.519170711259,Падение,Падение
143.210007,136.5,143.69681601568018,Падение,Рост
136.5,134.509995,139.30581451192177,Падение,Рост
